id,name,attention,position,feedforward,norm,params_m,val_loss,val_ppl,tokens_sec
1,LLaMA-3 Style (Default),MHA,sinusoidal,SWIGLU,RMS,16.902656,0.7227263641357422,2.0600419859764236,123.01909326775919
2,Mistral-Style (GQA - 2 KV Heads),GQA,sinusoidal,SWIGLU,RMS,15.32672,4.6772536277771,107.47450189695552,133.17288550184503
3,Falcon / PaLM (MQA - 1 KV Head),MQA,sinusoidal,SWIGLU,LAYER,15.068672,4.603653068542481,99.8484032795304,149.9963344039258
4,Classic GPT-2,MHA,learned,GEGLU,LAYER,19.004416,4.673530216217041,107.07507417254925,158.13133525711257
5,Vaswani Standard (2017),MHA,sinusoidal,GEGLU,LAYER,16.907264,4.68996000289917,108.84882608287631,146.0526677751565
6,ALiBi Relative Transformer,MHA,alibi,SWIGLU,RMS,16.902656,4.730838222503662,113.3905690514009,155.6031820288012
7,RoPE Rotary Embedding,MHA,rope,SWIGLU,RMS,16.902656,4.751361331939697,115.74174025588111,112.49810572177968
8,Deep RMSNorm + MQA,MQA,rope,SWIGLU,RMS,15.064064,4.63295087814331,102.81701739093083,119.58142123365782
9,GQA Balanced (4 KV Heads),GQA,sinusoidal,GEGLU,RMS,15.852032,4.765623207092285,117.40426166192721,142.55662935447668
10,Absolute Position GPT,MHA,absolute,SWIGLU,LAYER,19.004416,4.672509078979492,106.96579163282964,162.7038062715948
11,Lightweight Compact (2 Layers),MHA,sinusoidal,SWIGLU,RMS,2.152192,4.67907455444336,107.6703833721786,332.0950479935201
12,Heavy Deep GPT (6 Layers),MHA,sinusoidal,SWIGLU,RMS,56.834304,4.657991237640381,105.42409735583206,76.88664294975472
13,Bigram Baseline Model,NONE,none,NONE,NONE,0.008464,5.065256423950196,158.42105981973074,1456.598321942546
